,param_value,scores_avg,scores_raw,scores_std
0,0.01,0.9573838865543507,"[0.94653452 0.96983972 0.94522829 0.96943532 0.9480429  0.96973862
 0.93890668 0.96963752 0.94673667 0.96973862]",0.012503228329212867
1,0.1,0.9577117411434275,"[0.94029117 0.97769271 0.94178814 0.97668169 0.94230491 0.96973862
 0.94029117 0.97728831 0.94069546 0.97034523]",0.016834576004894398
2,0.3,0.9500265569713152,"[0.96039803 0.97557781 0.93606155 0.97315961 0.95385915 0.97044634
 0.96070893 0.97064854 0.82181399 0.97759161]",0.04433951199567033
3,0.6,0.9311830345079912,"[0.94270919 0.97779382 0.7839942  0.97840043 0.95276647 0.97185352
 0.9568836  0.9771872  0.93646956 0.83377235]",0.06372838899482781
4,0.9,0.8253826599494041,"[0.76079765 0.80261425 0.77544768 0.83165745 0.93890668 0.76886046
 0.86885941 0.97005346 0.76888945 0.7677401 ]",0.07255272350572373
5,1.0,0.7543853704498715,"[0.8456676  0.77168308 0.33353548 0.76896981 0.76510789 0.97799602
 0.76910857 0.76715821 0.77656715 0.76805989]",0.1539917636068246
