,param_value,scores_avg,scores_raw,scores_std
0,constant,0.89206782858164,"[0.91732008 0.94148666 0.87050859 0.91291709 0.90553319 0.90335581
 0.93252143 0.78028169 0.84987752 0.90687622]",0.045188572423448786
1,invscaling,0.7472591401054413,"[0.76120236 0.73371487 0.76977061 0.72678333 0.75700325 0.73452369
 0.77128271 0.73240054 0.75378807 0.73212196]",0.016219420097868642
2,adaptive,0.9587387901514222,"[0.94613024 0.97185352 0.93868172 0.97336181 0.94452079 0.9771872
 0.94964095 0.96943532 0.94321455 0.97336181]",0.014634232308993916
