,param_value,scores_avg,scores_raw,scores_std
0,0.0,0.9517607903524583,"[0.94331934 0.95463101 0.94100239 0.9594559  0.94281398 0.96519398
 0.94039596 0.96519398 0.94261184 0.96298951]",0.010170288912570278
1,0.2,0.9549521588443444,"[0.94331934 0.96660117 0.94090132 0.96913201 0.94572595 0.96912048
 0.94472665 0.96710668 0.94110346 0.96178453]",0.012025563198815746
2,0.4,0.9555189360336428,"[0.9420131  0.96711821 0.94543415 0.97103317 0.94372362 0.96892981
 0.93949401 0.96933421 0.93919079 0.96891827]",0.013682605150992311
3,0.6,0.955803125837812,"[0.94653452 0.96933421 0.94392577 0.96550882 0.9420131  0.96711821
 0.94523201 0.96943532 0.93959508 0.96933421]",0.012513360142907765
4,0.8,0.9577633717957156,"[0.94602917 0.96953642 0.94703988 0.97004193 0.94351007 0.9728563
 0.94834612 0.97014303 0.94059438 0.96953642]",0.01283871067434719
5,0.9,0.958166155965509,"[0.94371222 0.97315961 0.94895255 0.9771872  0.94029117 0.97588112
 0.94039224 0.97014303 0.94230491 0.96963752]",0.015350162631686341
6,1.0,0.4361447893797023,"[0.33363655 0.58061058 0.20976921 0.33333333 0.33333333 0.49407701
 0.53454692 0.59907327 0.60943105 0.33363664]",0.13560437410403106
